"","spp_trt","dates","avg","sd","N","str"
"1","Calamagrostis_No",2017-05-10,69.1666666666667,6.27887270329973,12,1.81255442272875
"2","Calamagrostis_No",2017-05-27,88,9.56318699255355,12,2.76065429223076
"3","Calamagrostis_No",2017-06-07,94.75,11.0051640770884,12,3.17691722119149
"4","Calamagrostis_No",2017-06-16,112.166666666667,30.1114092944347,12,8.69241513091044
"5","Calamagrostis_No",2017-06-28,109.166666666667,10.607315943025,12,3.06206835754244
"6","Calamagrostis_Yes",2017-05-10,69.1666666666667,6.05780238180231,12,1.74873691791556
"7","Calamagrostis_Yes",2017-05-27,92.1666666666667,9.57110550595179,12,2.76294017015179
"8","Calamagrostis_Yes",2017-06-07,96.4166666666667,14.0612836174261,12,4.05914294083633
"9","Calamagrostis_Yes",2017-06-16,104.083333333333,12.4860528251131,12,3.60441297984747
"10","Calamagrostis_Yes",2017-06-28,111.083333333333,18.9662778891826,12,5.47509282242241
"11","Carex_No",2017-05-10,63.8333333333333,13.7102041184549,12,3.95779501921732
"12","Carex_No",2017-05-27,85.3333333333333,12.3017613914973,12,3.55121262544375
"13","Carex_No",2017-06-07,87.1666666666667,12.5323822978956,12,3.61778714663865
"14","Carex_No",2017-06-16,126.833333333333,26.2222436226586,12,7.56970970714895
"15","Carex_No",2017-06-28,132.5,25.0435983473186,12,7.22946412365063
"16","Carex_Yes",2017-05-10,64.25,13.2605018415937,12,3.82797715391682
"17","Carex_Yes",2017-05-27,100.083333333333,12.0110428987308,12,3.46728942541518
"18","Carex_Yes",2017-06-07,98.25,15.0582203463756,12,4.34693378524833
"19","Carex_Yes",2017-06-16,134.5,14.7740558843104,12,4.2649025709146
"20","Carex_Yes",2017-06-28,149.833333333333,23.8015787609804,12,6.87092395239505
"21","Phragmites_No",2017-05-10,65.3888888888889,13.3510911159698,18,3.14688235478058
"22","Phragmites_No",2017-05-27,126.277777777778,19.3779910193939,18,4.56743628519516
"23","Phragmites_No",2017-06-07,149,26.9907391525316,17,6.54621579055187
"24","Phragmites_No",2017-06-16,174.529411764706,33.7863094445421,17,8.19438367880297
"25","Phragmites_No",2017-06-28,194.470588235294,38.277143387175,17,9.28357089601382
"26","Phragmites_Yes",2017-05-10,65.2777777777778,12.2800917584019,18,2.89444538531968
"27","Phragmites_Yes",2017-05-27,130.388888888889,20.5029090873893,18,4.83258201658143
"28","Phragmites_Yes",2017-06-07,157.888888888889,28.9073344832779,18,6.81352407971783
"29","Phragmites_Yes",2017-06-16,191.555555555556,35.5680329413964,18,8.38346576210931
"30","Phragmites_Yes",2017-06-28,209.333333333333,40.969141902599,18,9.65651935290723
"31","Typha_No",2017-05-10,79.5,6.56505902486794,6,2.68017412369669
"32","Typha_No",2017-05-27,158.833333333333,10.5340717040785,6,4.30051676481379
"33","Typha_No",2017-06-07,180.166666666667,39.821685884285,6,16.2571351856483
"34","Typha_No",2017-06-16,234.166666666667,14.1903723230459,6,5.7931952419292
"35","Typha_No",2017-06-28,262.333333333333,12.863384728238,6,5.25145482488213
"36","Typha_Yes",2017-05-10,79.6666666666667,6.65331997326648,6,2.71620650499512
"37","Typha_Yes",2017-05-27,169.333333333333,11.7926530800608,6,4.81433045996822
"38","Typha_Yes",2017-06-07,192.166666666667,38.5404549359069,6,15.7340748412835
"39","Typha_Yes",2017-06-16,258.5,10.6348483769163,6,4.34165866921848
"40","Typha_Yes",2017-06-28,279.5,18.4363770844491,6,7.52661942707349
